cancer,color
ACC,#0000ff
BLCA,#00f400
BRCA,#ff0016
CESC,#85d3ff
CHOL,#857a0b
COAD,#90006f
DLBC,#4ee9a6
ESCA,#006ff4
GBM,#ffa6a6
HNSC,#004237
KICH,#ff21ff
KIRC,#7a160b
KIRP,#ff9000
LAML,#bddd00
LGG,#e9a6ff
LIHC,#21376f
LUAD,#ff006f
LUSC,#008500
MESO,#c8d3a6
OV,#5900a6
PAAD,#7a4e59
PCPG,#2ca69b
PRAD,#ffc86f
READ,#ff00b1
SARC,#f46f4e
SKCM,#4e370b
STAD,#bd6fff
TGCT,#0085d3
THCA,#214e00
THYM,#85e964
UCEC,#ffd300
UCS,#b19bbc
UVM,#c84e6f
