scenario,scenario_label,group,cancer,x_index,x_label,x_label_plain,x_axis_title,regime,delta_ibs,display_delta_ibs,raw_delta_ibs,ibs_mean,n_folds,is_interpolated,color
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,BRCA,6,50%,50%,TCGA subset size,tcga_frac0p50,0.02725425406976892,0.02725425406976892,0.02725425406976892,0.1842743640049706,5,0,#ff0016
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,BRCA,7,100%,100%,TCGA subset size,tcga_frac1p00,-0.0692258923278829,-0.0692258923278829,-0.0692258923278829,0.08779421760731879,5,0,#ff0016
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.20832889945955496,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,1,1%,1%,TCGA subset size,tcga_frac0p01,0.10559193911209058,0.10559193911209058,0.10559193911209058,0.31392083857164554,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,2,2%,2%,TCGA subset size,tcga_frac0p02,0.0950813265946529,0.0950813265946529,0.0950813265946529,0.30341022605420787,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,3,5%,5%,TCGA subset size,tcga_frac0p05,0.11179347437029236,0.11179347437029236,0.11179347437029236,0.3201223738298473,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,4,10%,10%,TCGA subset size,tcga_frac0p10,0.03987798663080466,0.03987798663080466,0.03987798663080466,0.24820688609035962,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,5,20%,20%,TCGA subset size,tcga_frac0p20,0.11487348641913503,0.11487348641913503,0.11487348641913503,0.32320238587869,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,6,50%,50%,TCGA subset size,tcga_frac0p50,0.06754995841790568,0.06754995841790568,0.06754995841790568,0.27587885787746064,5,0,#85d3ff
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CESC,7,100%,100%,TCGA subset size,tcga_frac1p00,-0.06220072357332507,-0.06220072357332507,-0.06220072357332507,0.1461281758862299,5,0,#85d3ff
